"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the ""Source"" field is optional, that an invalid URL blocks publishing with an error message, and that a valid http(s):// URL enables the Publish button.","1640","TC-06 - should validate Source field URL format and Publish button state","chromium","2026-06-02","passed","2026-06-02","News Creation — Field Validation and Button States","create-news-source-validation.spec.ts","",""
"Verification of boundary values for the title length, highlighting validation errors in the UI, and enabling the publish button only after filling out the required fields.","6968","TC2 - should validate Title field limits and Publish button states","chromium","2026-06-02","failed","2026-06-02","News Creation — Field Validation and Button States","create-news-validation.spec.ts","",""
"Verification of all required elements of the news creation form and their correct visual arrangement.","7143","TC1 - should display all create news form fields in correct order","chromium","2026-06-02","failed","2026-06-02","Create News Form","create-news-form-layout.spec.ts","",""
"Verify that the user can select between 1 and 3 tags from the predefined list and that selecting a fourth tag is blocked.","30546","TC3 - Verify that the user can select between 1 and 3 tags from the predefined list","chromium","2026-06-02","broken","2026-06-02","News Creation — Field Validation and Button States","create-news-validation.spec.ts","",""
"Verify that the preview mode displays the entered Title, Main Text, current date, and correct author name.","3945","TC8 - Verify that the user can preview news content after entering valid data","chromium","2026-06-02","passed","2026-06-02","News Creation — Preview Mode Verification","create-news-preview.spec.ts","",""
"Verify that only PNG/JPG formats up to 10MB are accepted, and other formats or sizes cause error messages.","4324","TC4 - Verify the validation of the ""Upload Image"" field","chromium","2026-06-02","passed","2026-06-02","News Creation — Field Validation and Button States","create-news-validation.spec.ts","",""
"Verify that clicking the ""Cancel"" button triggers a confirmation modal. Check that ""Yes, cancel"" redirects to the news page, while ""Continue editing"" keeps the form data.","2867","TC-07 - should trigger confirmation modal and handle Cancel/Continue actions","chromium","2026-06-02","passed","2026-06-02","News Creation — Cancel Functionality","create-news-cancellation.spec.ts","",""
"","2665","open base page","chromium","2026-06-02","passed","2026-06-02","","smoke.spec.ts","",""
"Verify that the ""Main Text"" field enforces a minimum of 20 and a maximum of 63,206 characters. The Publish button must remain disabled when the text is too short or too long.","2100","TC-05 - should validate Main Text field min/max limits and Publish button state","chromium","2026-06-02","passed","2026-06-02","News Creation — Field Validation and Button States","create-news-main-text-validation.spec.ts","",""
"","4714","authenticate","setup","2026-06-02","passed","2026-06-02","","auth.setup.ts","",""
